[localhost-startStop-1] 2020-08-18 12:38:59.880 INFO  >>> org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
[localhost-startStop-1] 2020-08-18 12:38:59.885 INFO  >>> org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/wenlv/rest] - Initializing Spring embedded WebApplicationContext
[main] 2020-08-18 12:39:01.313 INFO  >>> springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
[main] 2020-08-18 12:39:01.793 INFO  >>> springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
[main] 2020-08-18 12:39:01.813 INFO  >>> springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
[main] 2020-08-18 12:39:01.839 INFO  >>> springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
[main] 2020-08-18 12:39:02.256 INFO  >>> org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8092"]
[main] 2020-08-18 12:39:02.262 INFO  >>> org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler [http-nio-8092]
[main] 2020-08-18 12:39:02.271 INFO  >>> org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
[main] 2020-08-18 12:39:02.299 INFO  >>> com.zte.common.config.InitDataSource - 正在连接数据库。。。
[main] 2020-08-18 12:39:02.586 INFO  >>> com.zte.common.config.InitDataSource - 连接数据库完成
[main] 2020-08-18 12:39:02.631 INFO  >>> com.zte.common.config.InitRedis - redis连接成功
[main] 2020-08-18 12:39:02.632 INFO  >>> com.zte.Application - Started Application in 5.357 seconds (JVM running for 6.75)
[main] 2020-08-18 12:44:21.001 INFO  >>> com.zte.Application - Starting Application on 7TAV70GMCNQG825 with PID 7120 (C:\yswwork\svnproject\wenlv\wenlv\target\classes started by Administrator in C:\yswwork\svnproject\wenlv\wenlv)
[main] 2020-08-18 12:44:21.005 INFO  >>> com.zte.Application - The following profiles are active: dev
[background-preinit] 2020-08-18 12:44:21.229 INFO  >>> org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.4.Final
[main] 2020-08-18 12:44:22.758 INFO  >>> org.apache.catalina.core.StandardService - Starting service Tomcat
[main] 2020-08-18 12:44:22.759 INFO  >>> org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.5
[localhost-startStop-1] 2020-08-18 12:44:22.927 INFO  >>> org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
[localhost-startStop-1] 2020-08-18 12:44:22.930 INFO  >>> org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/wenlv/rest] - Initializing Spring embedded WebApplicationContext
[main] 2020-08-18 12:44:24.494 INFO  >>> springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
[main] 2020-08-18 12:44:25.008 INFO  >>> springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
[main] 2020-08-18 12:44:25.028 INFO  >>> springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
[main] 2020-08-18 12:44:25.077 INFO  >>> springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
[main] 2020-08-18 12:44:25.464 INFO  >>> org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8092"]
[main] 2020-08-18 12:44:25.470 INFO  >>> org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler [http-nio-8092]
[main] 2020-08-18 12:44:25.480 INFO  >>> org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
[main] 2020-08-18 12:44:25.504 INFO  >>> com.zte.common.config.InitDataSource - 正在连接数据库。。。
[main] 2020-08-18 12:44:25.791 INFO  >>> com.zte.common.config.InitDataSource - 连接数据库完成
[main] 2020-08-18 12:44:25.834 INFO  >>> com.zte.common.config.InitRedis - redis连接成功
[main] 2020-08-18 12:44:25.835 INFO  >>> com.zte.Application - Started Application in 5.185 seconds (JVM running for 6.326)
[http-nio-8092-exec-2] 2020-08-18 12:44:54.375 INFO  >>> org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/wenlv/rest] - Initializing Spring FrameworkServlet 'dispatcherServlet'
[http-nio-8092-exec-4] 2020-08-18 12:45:20.610 INFO  >>> com.zte.common.utils.SystemUtils - AdminVo [Hash = 1714216755, adminId=1, account=test, password=null, adminName=超级管理员, mobile=654321, createTime=null, updateTime=20200730100412, salt=null, adminType=null, entId=null, serialVersionUID=1]
[main] 2020-08-18 12:48:35.577 INFO  >>> com.zte.Application - Starting Application on 7TAV70GMCNQG825 with PID 23048 (C:\yswwork\svnproject\wenlv\wenlv\target\classes started by Administrator in C:\yswwork\svnproject\wenlv\wenlv)
[main] 2020-08-18 12:48:35.580 INFO  >>> com.zte.Application - The following profiles are active: dev
[background-preinit] 2020-08-18 12:48:35.798 INFO  >>> org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.4.Final
[main] 2020-08-18 12:48:37.159 INFO  >>> org.apache.catalina.core.StandardService - Starting service Tomcat
[main] 2020-08-18 12:48:37.160 INFO  >>> org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.5
[localhost-startStop-1] 2020-08-18 12:48:37.335 INFO  >>> org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
[localhost-startStop-1] 2020-08-18 12:48:37.338 INFO  >>> org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/wenlv/rest] - Initializing Spring embedded WebApplicationContext
[main] 2020-08-18 12:48:38.714 INFO  >>> springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
[main] 2020-08-18 12:48:39.215 INFO  >>> springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
[main] 2020-08-18 12:48:39.232 INFO  >>> springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
[main] 2020-08-18 12:48:39.255 INFO  >>> springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
[main] 2020-08-18 12:48:39.658 INFO  >>> org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8092"]
[main] 2020-08-18 12:48:39.667 INFO  >>> org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler [http-nio-8092]
[main] 2020-08-18 12:48:39.678 INFO  >>> org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
[main] 2020-08-18 12:48:39.706 INFO  >>> com.zte.common.config.InitDataSource - 正在连接数据库。。。
[main] 2020-08-18 12:48:40.019 INFO  >>> com.zte.common.config.InitDataSource - 连接数据库完成
